node,community
620,0
105600,0
227300,1
264710,6
268910,0
289070,0
504230,0
739630,0
848450,6
1623730,0
8930,0
1145360,0
1794680,0
242760,1
255710,1
294100,0
526870,4
588650,0
892970,0
962130,0
1245620,2
1326470,1
270880,1
292030,3
394360,1
1551360,1
236850,1
1158310,2
346110,4
1172620,1
1196590,5
493340,1
257510,7
835960,7
632470,2
782330,2
883710,5
1091500,3
1174180,3
1259420,3
427520,4
703080,4
374320,2
814380,2
1716740,4
535930,8
1649080,8
548430,0
601150,2
753640,2
2358720,2
2050650,5
1850570,3
2561580,3
1593500,1
2420110,3
