ari,avg_jaccard,retention_rate,persistent_communities,month_t1,month_t2
0.6341463414634146,0.5285714285714286,1.0,0.875,2024-11-30,2024-12-31
1.0,0.8800000000000001,1.0,0.5555555555555556,2024-12-31,2025-01-31
1.0,1.0,1.0,0.5714285714285714,2025-01-31,2025-02-28
0.723404255319149,0.6574829931972789,1.0,0.7777777777777778,2025-02-28,2025-03-31
1.0,0.75,1.0,0.5,2025-03-31,2025-04-30
0.7457627118644068,0.5700757575757576,0.9,0.5714285714285714,2025-04-30,2025-05-31
0.14922296225816684,0.284046694046694,0.8666666666666667,0.9090909090909091,2025-05-31,2025-06-30
0.4263539205407858,0.43001628001627995,0.8,0.8181818181818182,2025-06-30,2025-07-31
0.1872037914691943,0.33796290930165174,0.7959183673469388,0.9,2025-07-31,2025-08-31
0.17907137247435684,0.3552531351629481,0.8604651162790697,0.8181818181818182,2025-08-31,2025-09-30
0.3075241767532012,0.3649277067829104,0.8181818181818182,1.0,2025-09-30,2025-10-31
0.4444444444444444,0.39999999999999997,0.625,0.3333333333333333,2025-10-31,2025-11-30
