node,community
620,5
105600,4
227300,0
264710,5
268910,4
289070,3
504230,4
739630,5
848450,5
1623730,5
8930,3
1145360,4
1794680,3
242760,0
255710,0
294100,4
526870,1
588650,4
892970,3
962130,4
1245620,2
1326470,0
270880,0
292030,3
394360,0
1551360,0
236850,0
1158310,2
346110,1
1172620,0
1196590,6
493340,0
257510,7
835960,7
632470,2
782330,2
883710,6
1091500,3
1174180,3
1259420,1
427520,1
703080,1
374320,2
814380,2
1716740,1
535930,8
1649080,8
548430,3
601150,2
753640,2
2358720,2
2050650,6
1850570,1
2561580,1
1593500,0
2420110,1
