app_id,discount_pct,delta_reviews,weight,month
289070,90.02,-13.5,90.02,2025-05-31
236850,90.02,16.5,90.02,2025-05-31
292030,90.02,29.5,90.02,2025-05-31
257510,85.03,40.0,85.03,2025-05-31
620,80.08,139.0,80.08,2025-05-31
227300,75.04,18.5,75.04,2025-05-31
270880,75.04,23.5,75.04,2025-05-31
8930,75.03,19.0,75.03,2025-05-31
210970,75.02,5.0,75.02,2025-05-31
493340,75.02,25.0,75.02,2025-05-31
632470,75.02,14.0,75.02,2025-05-31
1174180,75.01,54.0,75.01,2025-05-31
255710,70.02,-2.0,70.02,2025-05-31
703080,70.02,54.0,70.02,2025-05-31
2669320,70.01,-7.5,70.01,2025-05-31
