app_id,timestamp,discount_pct,pre_reviews,post_reviews,delta_reviews,month_tag
8930,2025-08-04 17:17:07+00:00,75.03,87,93,6,2025-08-31
8930,2025-08-18 17:17:08+00:00,0.0,93,93,0,2025-08-31
227300,2025-08-25 17:27:27+00:00,75.04,300,425,125,2025-08-31
236850,2025-08-11 17:20:59+00:00,90.02,131,179,48,2025-08-31
236850,2025-08-18 17:17:15+00:00,0.0,142,162,20,2025-08-31
264710,2025-08-13 17:15:54+00:00,75.03,247,736,489,2025-08-31
264710,2025-08-21 17:19:02+00:00,0.0,543,589,46,2025-08-31
270880,2025-08-25 17:27:27+00:00,75.04,131,152,21,2025-08-31
275850,2025-08-25 17:27:46+00:00,60.01,22,102,80,2025-08-31
289070,2025-08-04 17:17:05+00:00,90.02,140,234,94,2025-08-31
289070,2025-08-18 17:17:08+00:00,0.0,234,174,-60,2025-08-31
292030,2025-08-04 17:17:05+00:00,80.02,77,131,54,2025-08-31
292030,2025-08-17 17:15:17+00:00,0.0,110,414,304,2025-08-31
367520,2025-08-25 17:19:12+00:00,50.03,150,506,356,2025-08-31
394360,2025-08-04 17:17:12+00:00,70.01,209,234,25,2025-08-31
394360,2025-08-18 17:17:14+00:00,0.0,234,215,-19,2025-08-31
413150,2025-08-07 17:16:33+00:00,30.02,113,133,20,2025-08-31
413150,2025-08-14 17:23:44+00:00,0.0,133,106,-27,2025-08-31
493340,2025-08-21 17:19:00+00:00,75.02,97,103,6,2025-08-31
504230,2025-08-15 17:16:13+00:00,75.04,235,370,135,2025-08-31
504230,2025-08-29 17:18:42+00:00,0.0,370,278,-92,2025-08-31
526870,2025-08-25 17:20:25+00:00,30.01,399,440,41,2025-08-31
535930,2025-08-28 17:15:50+00:00,75.03,98,151,53,2025-08-31
548430,2025-08-09 17:18:51+00:00,0.0,262,195,-67,2025-08-31
601150,2025-08-11 17:21:49+00:00,75.03,116,171,55,2025-08-31
601150,2025-08-24 17:15:23+00:00,0.0,173,129,-44,2025-08-31
632470,2025-08-11 17:21:12+00:00,75.02,206,274,68,2025-08-31
632470,2025-08-18 17:17:22+00:00,0.0,220,257,37,2025-08-31
703080,2025-08-21 17:19:00+00:00,70.02,97,132,35,2025-08-31
739630,2025-08-07 17:16:30+00:00,25.01,49,84,35,2025-08-31
739630,2025-08-14 17:23:44+00:00,0.0,67,76,9,2025-08-31
753640,2025-08-23 17:19:12+00:00,40.02,237,248,11,2025-08-31
782330,2025-08-13 17:15:56+00:00,0.0,169,141,-28,2025-08-31
848450,2025-08-13 17:15:54+00:00,75.03,105,267,162,2025-08-31
848450,2025-08-21 17:19:02+00:00,0.0,199,226,27,2025-08-31
883710,2025-08-11 17:21:56+00:00,75.02,152,252,100,2025-08-31
883710,2025-08-24 17:15:23+00:00,0.0,244,227,-17,2025-08-31
1091500,2025-08-04 17:23:09+00:00,65.01,163,199,36,2025-08-31
1091500,2025-08-17 17:15:17+00:00,0.0,200,143,-57,2025-08-31
1158310,2025-08-06 17:17:01+00:00,0.0,140,146,6,2025-08-31
1172620,2025-08-11 17:21:22+00:00,50.01,163,212,49,2025-08-31
1172620,2025-08-18 17:17:26+00:00,0.0,204,166,-38,2025-08-31
1174180,2025-08-25 17:27:39+00:00,75.01,108,146,38,2025-08-31
1196590,2025-08-11 17:21:55+00:00,75.02,151,271,120,2025-08-31
1196590,2025-08-24 17:19:38+00:00,0.0,245,228,-17,2025-08-31
1282100,2025-08-25 17:19:36+00:00,60.01,97,158,61,2025-08-31
1363080,2025-08-23 17:19:18+00:00,35.01,137,148,11,2025-08-31
1551360,2025-08-21 17:18:58+00:00,50.01,165,264,99,2025-08-31
1551360,2025-08-25 17:28:33+00:00,0.0,219,219,0,2025-08-31
1623730,2025-08-09 17:18:50+00:00,0.0,168,340,172,2025-08-31
1649080,2025-08-28 17:15:51+00:00,75.03,62,119,57,2025-08-31
1716740,2025-08-13 17:15:57+00:00,0.0,185,160,-25,2025-08-31
1850570,2025-08-04 17:22:58+00:00,50.01,474,370,-104,2025-08-31
1850570,2025-08-18 17:17:10+00:00,0.0,370,279,-91,2025-08-31
1903340,2025-08-28 17:15:54+00:00,10.0,90,70,-20,2025-08-31
2050650,2025-08-11 17:21:56+00:00,50.01,285,356,71,2025-08-31
2050650,2025-08-24 17:19:39+00:00,0.0,340,361,21,2025-08-31
2054970,2025-08-11 17:21:49+00:00,58.01,86,145,59,2025-08-31
2054970,2025-08-24 17:19:39+00:00,0.0,142,100,-42,2025-08-31
2072450,2025-08-28 17:15:44+00:00,60.01,79,68,-11,2025-08-31
2933620,2025-08-01 20:18:09+00:00,45.01,56,97,41,2025-08-31
2933620,2025-08-15 17:20:22+00:00,0.0,97,55,-42,2025-08-31
3240220,2025-08-14 17:24:13+00:00,50.02,86,85,-1,2025-08-31
3240220,2025-08-28 17:18:39+00:00,0.0,85,70,-15,2025-08-31
