sim_id,size,depth
0,15,0
1,12,0
2,15,0
3,11,0
4,14,1
5,15,1
6,12,0
7,13,1
8,9,0
9,13,0
10,13,0
11,15,1
12,15,0
13,14,0
14,11,0
15,13,0
16,13,1
17,14,0
18,12,0
19,13,0
20,15,1
21,13,0
22,14,1
23,14,0
24,14,1
25,12,0
26,15,0
27,13,0
28,11,0
29,14,0
30,13,0
31,15,1
32,12,0
33,14,0
34,15,1
35,10,0
36,14,0
37,14,0
38,12,0
39,13,1
40,13,0
41,13,0
42,15,1
43,14,0
44,14,1
45,13,0
46,16,1
47,14,1
48,13,0
49,14,0
50,14,0
51,14,0
52,14,0
53,15,1
54,12,0
55,13,0
56,13,0
57,14,0
58,13,0
59,13,0
60,15,1
61,13,0
62,14,0
63,12,0
64,15,0
65,13,0
66,15,1
67,15,0
68,14,0
69,13,0
70,11,0
71,12,0
72,14,0
73,12,0
74,12,0
75,12,0
76,11,0
77,16,1
78,15,0
79,15,0
80,13,0
81,13,0
82,13,0
83,13,1
84,12,0
85,15,1
86,13,0
87,14,0
88,13,1
89,13,0
90,14,0
91,12,0
92,13,0
93,13,0
94,13,0
95,12,0
96,13,1
97,14,0
98,14,0
99,15,1
100,12,0
101,14,1
102,14,0
103,14,1
104,15,1
105,13,0
106,13,0
107,13,0
108,12,0
109,14,0
110,12,0
111,15,1
112,15,1
113,12,0
114,13,0
115,15,1
116,14,0
117,14,0
118,12,0
119,13,0
120,15,0
121,15,0
122,14,0
123,13,0
124,13,0
125,14,1
126,14,1
127,14,1
128,15,1
129,13,0
130,15,1
131,14,1
132,14,0
133,13,0
134,13,0
135,13,0
136,14,0
137,14,0
138,13,0
139,15,0
140,12,0
141,13,0
142,13,0
143,14,0
144,11,0
145,13,1
146,13,0
147,12,0
148,14,0
149,15,0
