sim_id,size,depth
0,27,5
1,26,3
2,26,3
3,27,2
4,27,3
5,25,3
6,22,3
7,20,2
8,34,4
9,21,4
10,26,4
11,21,4
12,16,1
13,29,3
14,26,3
15,22,4
16,28,3
17,24,2
18,21,2
19,19,3
20,24,3
21,22,2
22,28,3
23,28,3
24,27,3
25,25,3
26,30,4
27,24,4
28,23,2
29,27,3
30,17,2
31,24,4
32,23,2
33,29,2
34,25,3
35,20,2
36,31,5
37,27,4
38,29,3
39,27,3
40,21,3
41,24,4
42,24,2
43,19,3
44,24,4
45,27,4
46,19,1
47,19,1
48,31,3
49,29,3
50,29,3
51,26,2
52,27,4
53,17,2
54,26,3
55,24,3
56,20,2
57,16,1
58,19,1
59,26,4
60,29,4
61,27,3
62,23,2
63,17,2
64,25,2
65,26,3
66,32,3
67,21,3
68,27,4
69,19,2
70,32,4
71,26,3
72,20,3
73,27,3
74,16,1
75,22,1
76,25,4
77,31,4
78,18,1
79,20,2
80,28,3
81,15,1
82,28,3
83,24,3
84,22,3
85,23,3
86,26,4
87,24,3
88,26,2
89,28,3
90,20,3
91,20,2
92,25,3
93,26,3
94,19,2
95,21,2
96,22,5
97,21,3
98,23,2
99,24,2
100,20,1
101,29,4
102,28,2
103,18,1
104,25,2
105,26,3
106,30,4
107,23,2
108,21,2
109,28,3
110,19,2
111,23,4
112,28,3
113,20,2
114,26,3
115,30,2
116,28,3
117,31,4
118,21,2
119,31,2
120,24,3
121,24,3
122,26,5
123,24,2
124,21,2
125,21,2
126,20,2
127,24,2
128,21,2
129,16,2
130,15,1
131,22,3
132,26,3
133,24,2
134,25,2
135,33,3
136,26,3
137,21,2
138,22,5
139,24,3
140,25,3
141,14,1
142,28,4
143,23,4
144,27,4
145,23,2
146,24,4
147,23,3
148,23,3
149,14,1
