strategy,model,sim_id,size,depth,base_p,min_p,max_p,alpha,weight_scale,weight_shift,max_steps,lt_threshold,prob_map,edge_weight_key,metadata,month
ic_balanced,ic,0,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,1,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,2,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,3,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,4,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,5,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,6,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,7,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,8,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,9,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,10,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,11,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,12,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,13,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,14,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,15,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,16,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,17,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,18,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,19,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,20,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,21,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,22,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,23,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,24,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,25,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,26,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,27,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,28,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,29,8,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,30,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,31,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,32,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,33,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,34,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,35,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,36,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,37,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,38,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,39,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,40,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,41,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,42,8,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,43,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,44,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,45,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,46,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,47,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,48,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,49,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,50,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,51,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,52,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,53,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,54,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,55,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,56,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,57,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,58,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,59,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,60,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,61,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,62,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,63,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,64,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,65,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,66,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,67,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,68,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,69,7,1,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,70,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,ic,71,6,0,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
