split_id,train_month,test_month,method,AUROC,AP
0,2024-11,2024-12,heuristic,0.5,0.5
0,2024-11,2024-12,embedding,1.0,1.0
0,2024-11,2024-12,hybrid,1.0,1.0
1,2024-12,2025-01,heuristic,1.0,1.0
1,2024-12,2025-01,embedding,1.0,1.0
1,2024-12,2025-01,hybrid,1.0,1.0
3,2025-02,2025-03,heuristic,1.0,1.0
3,2025-02,2025-03,embedding,1.0,1.0
3,2025-02,2025-03,hybrid,1.0,1.0
5,2025-04,2025-05,heuristic,1.0,1.0
5,2025-04,2025-05,embedding,1.0,1.0
5,2025-04,2025-05,hybrid,1.0,1.0
6,2025-05,2025-06,heuristic,0.7959183673469388,0.8425324675324675
6,2025-05,2025-06,embedding,0.979591836734694,0.982142857142857
6,2025-05,2025-06,hybrid,0.8571428571428571,0.8857142857142857
7,2025-06,2025-07,heuristic,0.47959183673469385,0.6243756243756244
7,2025-06,2025-07,embedding,0.6938775510204082,0.6877551020408164
7,2025-06,2025-07,hybrid,0.6938775510204082,0.7051543694400837
8,2025-07,2025-08,heuristic,0.705078125,0.7021460423634337
8,2025-07,2025-08,embedding,0.7109375,0.6612358870282299
8,2025-07,2025-08,hybrid,0.73046875,0.7211475877608478
9,2025-08,2025-09,heuristic,0.7777777777777778,0.8472727272727272
9,2025-08,2025-09,embedding,0.5955555555555556,0.5640705670351877
9,2025-08,2025-09,hybrid,0.7999999999999999,0.8607948717948717
10,2025-09,2025-10,heuristic,0.6458333333333333,0.664859962372024
10,2025-09,2025-10,embedding,0.8246527777777778,0.8314456757361814
10,2025-09,2025-10,hybrid,0.7690972222222222,0.7632369624208447
11,2025-10,2025-11,heuristic,1.0,1.0
11,2025-10,2025-11,embedding,1.0,1.0
11,2025-10,2025-11,hybrid,1.0,1.0
