sim_id,size,depth
0,52,1
1,46,0
2,48,1
3,45,1
4,44,0
5,47,0
6,50,2
7,49,0
8,47,0
9,49,1
10,46,0
11,41,0
12,44,0
13,42,0
14,45,0
15,45,0
16,45,0
17,47,0
18,50,1
19,48,1
20,48,0
21,47,0
22,50,0
23,44,0
24,50,0
25,53,0
26,49,0
27,48,0
28,53,0
29,49,0
30,40,0
31,49,1
32,46,0
33,48,0
34,52,1
35,48,0
36,44,0
37,46,0
38,47,1
39,42,0
40,46,0
41,49,1
42,46,0
43,46,0
44,41,0
45,42,0
46,46,0
47,42,1
48,48,1
49,44,1
50,49,0
51,48,0
52,48,0
53,45,1
54,45,0
55,44,0
56,46,0
57,48,0
58,45,0
59,42,0
60,45,1
61,45,1
62,42,0
63,49,1
64,50,0
65,52,0
66,46,1
67,49,0
68,48,1
69,50,0
70,42,0
71,53,0
72,44,0
73,46,0
74,46,0
75,45,0
76,54,0
77,41,0
78,45,0
79,46,0
80,45,0
81,52,0
82,44,0
83,45,0
84,46,0
85,47,0
86,42,0
87,45,0
88,48,1
89,45,0
90,47,0
91,47,0
92,46,0
93,50,1
94,47,0
95,45,0
96,48,1
97,45,0
98,50,1
99,49,0
