split_id,train_month,test_month,method,AUROC,AP
0,2024-11,2024-12,heuristic,0.5,0.5
0,2024-11,2024-12,embedding,0.0,0.5
1,2024-12,2025-01,heuristic,1.0,1.0
1,2024-12,2025-01,embedding,1.0,1.0
3,2025-02,2025-03,heuristic,1.0,1.0
3,2025-02,2025-03,embedding,0.0,0.5
5,2025-04,2025-05,heuristic,1.0,1.0
5,2025-04,2025-05,embedding,1.0,1.0
6,2025-05,2025-06,heuristic,0.7365702479338843,0.7580234159779614
6,2025-05,2025-06,embedding,0.5743801652892562,0.5961498847988886
6,2025-05,2025-06,hybrid,,0.0
7,2025-06,2025-07,heuristic,0.6342155009451795,0.6448961458552251
7,2025-06,2025-07,embedding,0.7013232514177694,0.7476213112291199
7,2025-06,2025-07,hybrid,,0.0
8,2025-07,2025-08,heuristic,0.7290850836596654,0.7663615371633947
8,2025-07,2025-08,embedding,0.6454254182983268,0.6711562255600565
8,2025-07,2025-08,hybrid,,0.0
9,2025-08,2025-09,heuristic,0.7444545043005883,0.7880476155788972
9,2025-08,2025-09,embedding,0.7849705749207787,0.7370049458663425
9,2025-08,2025-09,hybrid,,0.0
10,2025-09,2025-10,heuristic,0.6156181480856806,0.6411380258944789
10,2025-09,2025-10,embedding,0.677264294147411,0.6457628310903097
10,2025-09,2025-10,hybrid,,0.0
11,2025-10,2025-11,heuristic,1.0,1.0
11,2025-10,2025-11,embedding,1.0,1.0
11,2025-10,2025-11,hybrid,,0.0
