sim_id,size,depth
0,53,1
1,46,0
2,48,1
3,45,1
4,44,0
5,47,0
6,50,2
7,49,0
8,47,0
9,49,1
10,46,0
11,41,0
12,44,0
13,42,0
14,46,1
15,46,1
16,45,0
17,48,1
18,50,1
19,48,1
20,48,0
21,47,0
22,52,1
23,44,0
24,50,0
25,54,1
26,50,1
27,48,0
28,53,0
29,49,0
30,41,1
31,48,0
32,47,1
33,48,0
34,51,0
35,49,1
36,46,1
37,46,0
38,47,1
39,42,0
40,46,0
41,48,0
42,46,0
43,48,1
44,41,0
45,42,0
46,47,1
47,42,1
48,48,1
49,44,1
50,49,0
51,48,0
52,48,0
53,45,1
54,45,0
55,44,0
56,46,0
57,48,0
58,45,0
59,43,1
60,44,0
61,45,1
62,42,0
63,48,0
64,50,0
65,53,1
66,46,1
67,49,0
68,47,0
69,50,0
70,43,1
71,53,0
72,44,0
73,47,1
74,49,1
75,46,1
76,54,0
77,44,1
78,47,1
79,47,1
80,45,0
81,52,0
82,45,1
83,46,1
84,46,0
85,48,1
86,42,0
87,46,1
88,47,0
89,45,0
90,47,0
91,48,1
92,46,0
93,49,0
94,48,1
95,45,0
96,48,1
97,45,0
98,49,0
99,51,2
